34|Student Venture Fund - Analyst|AFM 326||This course provides students hands-on training in early-stage (angel and venture capital) investing with guidance from industry experts and supervision by faculty. This will generally be the first course that students take when they join the Student Venture Fund team. Analysts will attend investor meetings, assist in market research and specific deal due diligence, and prepare investment proposals.
35|Investment Management - Junior Analyst|AFM 328||This course provides students hands-on training in equity valuation and enables students to follow one industry sector. As a junior analyst, a student will understand why funds management is broken into different sectors, monitor existing equity holdings in a particular sector, make new equity selections in the sector, prepare equity research reports, and present trading recommendations to an investment team in a student-run investment portfolio.
36|Investment Management - Senior Analyst|AFM 329||This course provides students hands-on training in equity valuation and enables students to follow more than one industry sector. As a senior analyst, a student will monitor existing equity holdings in different sectors, make new equity selections in the sectors, prepare equity research reports, and present trading recommendations to an investment team in a student-run investment portfolio.
37|International Business|AFM 333||This course examines the opportunities, risks, and challenges faced by businesses in international markets, as well as the preparation required to operate them.
38|International Study Experience|AFM 334||"This course focuses on offering students insight into the business operations of multinational firms and learning the perspectives of business executives across multiple industries in the private sector. A significant portion of this course involves a short-term international trip where students will directly learn about various companies and the international business environment by actively participating in discussions with company executives about their businesses and government officials about their respective industries. The course will also expose students to a specific topic in the region such as ""The Impact of Brexit on the Global Financial Community"" or ""The Role of Asia in the Global Financial Landscape""."
39|Business Law for Financial Managers|AFM 335||This course helps accounting and finance professionals become effective managers and better informed users of legal services. It contributes to developing a solid understanding of the legal and ethical environment in which businesses operate, expands on the legal concepts of business organization and contracts, introduces property and torts law, and integrates legal concepts through the preparation of a legal risk plan.
40|Accounting Information Systems|AFM 341||Examines the planning, requirements analysis, acquisition, and evaluation of information systems, with an emphasis on accounting information systems. Introduces information systems assurance concepts, and considers the role of information technology in the improvement of business performance.
41|Business Applications of Social Media Analytics|AFM 345||This course reinforces the data analytics process, introducing applications that leverage tools such as text analytics and sentiment analysis to analyze content from social networks to address business problems.
42|Applications of Predictive Analytics in Accounting and Finance|AFM 346||This course introduces applications of classification/prediction methods and machine learning used in accounting and finance settings. Samples include bankruptcy prediction, fraud detection, and loan default.
43|Cybersecurity|AFM 347||This course explores emerging issues related to cybersecurity management, governance, and control, which pose significant challenges to organizations in a networked environment. The course focuses on cybersecurity risks and investigates how companies can more effectively protect their digital assets from both internal and external threats.
44|Corporate Taxation|AFM 362||This course examines the foundational concepts in the calculation of different sources of income and their taxation in Canadian corporations.
45|Taxation 2 - Integration|AFM 363||This course builds on the foundational concepts established in AFM 362 by exploring the taxation of individuals and corporations in more depth.
46|Cases and Applications in Corporate Finance|AFM 373||This course builds on the theory of financial management using cases to illustrate a variety of corporate financial decisions.
47|Private Equity and Venture Capital|AFM 377||This course explores the fundamentals of the private equity industry. Topics include raising capital, structuring deals, creating a leveraged buyout model (LBO), and unlocking value through various strategies.
48|Cost Management Systems|AFM 382||Consideration of more complex topics in management planning and control. Emphasis is on traditional and contemporary cost accumulation systems and their application in modern day organizations. Cases, simulations, projects, and presentations are the key instructional methods used to understand and integrate the course material. At the end of the course, students will have a solid understanding of how the correct choice of a costing model adds value to the organization.
49|Intermediate Financial Accounting 2|AFM 391||This is an intermediate financial accounting course that deals with problems related to the measurement of liabilities, measurement of income, and the reporting and measuring of corporate equities.
50|Accounting Theory|AFM 401||A review of accounting theory as a background for applying underlying concepts to current accounting problems. Emphasis is on current literature, with a major term paper required.
51|Special Topics|AFM 415||A course offered from time to time on a significant accounting and financial management issue.
52|Special Topics in Finance|AFM 416||A course offered from time to time on a significant finance issue.
53|Special Topics in Accounting|AFM 417||A course offered from time to time on a significant accounting issue.
54|Special Topics in Finance or Accounting|AFM 418||A course offered from time to time in relation to a significant school-related accounting or finance project or activity.
55|Management of Financial Institutions|AFM 422||This course focuses on the economics of financial institutions, particularly commercial banks. Issues related to commercial and investment banking and other financial intermediaries as well as financial markets and regulatory entities are examined.
56|Topics in Financial Econometrics|AFM 423||This course introduces the use of advanced econometric/statistical methods in studying financial market data, and in quantitatively assessing risks associated with financial investments. The methods presented in this course are tailored to address specific issues of interest in finance, such as the quantification of the risk-return tradeoff, the modelling of time-varying stock/bond market volatility and, possibly, also the statistical analysis of financial derivatives such as options.
57|Equity Investments|AFM 424||This course addresses principles of equity investments, including risk and return relationships, fundamental analysis of equities based on macroeconomic, industry and company-specific factors, financial statement analysis, and technical analysis. Portfolio allocation, performance measurement, and ethical and professional standards in the investment profession are also covered.
58|Fixed Income Securities|AFM 425||Introduction to various aspects of fixed income investments, including valuation, risk management, portfolio management, interest rate models, interest rate derivatives, and institutional features of bond markets.
59|Student Venture Fund-Associate|AFM 426||This course provides students hands-on training in early-stage (angel and venture capital) investing with guidance from industry experts and supervision by faculty. Associates will attend investment meetings, organize due diligence, supervise analysts, make investment recommendations, be involved in deal terms, and manage portfolio holdings.
60|Intermediate Portfolio Management|AFM 427||This course focusses on the theory and practice of passive and active portfolio management focusing on both traditional and alternative investment assets. The course traces the process of development of the portfolio objective and investment thesis, asset selection, performance and risk measurement, and monitoring and stakeholder reporting. The course utilizes business analytics practices with a focus on the role of the financial analyst in an increasingly automated world.
61|Investment Management - Junior Portfolio Manager|AFM 428||This course provides students hands-on training in equity valuation and portfolio management. As a junior portfolio manager, a student will make allocations in two sectors, monitor the performance of the existing equity holdings in these two sectors, mentor two analysts, make equity trading decisions for these two sectors, and present portfolio performance reports to the investment team and the advisory board.
62|Investment Management - Senior Portfolio Manager|AFM 429||This course provides students hands-on training in equity valuation and portfolio management. As a senior portfolio manager, a student will make allocations in different industry sectors, monitor the performance of the existing equity holdings in these sectors, mentor analysts, make equity trading decisions for these sectors, and present portfolio performance reports to the investment team and the advisory board.
63|Business Strategy|AFM 433||This course focuses on strategic management of the total enterprise. Managers contribute to the organization through their analytical and leadership capabilities as well as their technical expertise. The course provides a framework for developing and implementing strategy that fits the firm's environment, managerial values, and organization.
64|Corporate Governance and Risk Management|AFM 434||Corporate governance examines corporate organization, communication with stakeholders, and decision-making. Effective corporate governance promotes sustainable and socially equitable business practices and provides assurance to shareholders of investment integrity. This course examines the interface of corporate governance and risk management.
65|E-business: Enterprise Systems|AFM 442||This course examines the role of integrated company-wide information systems in improving organizational performances. The course will focus on the selection, acquisition, and implementation of these systems, including consideration of business process alignment, change management, and development of business cases to support their acquisition. The role of enterprise systems in inter-organizational systems and e-commerce will also be considered. The course will make use of case studies as well as examine selected current enterprise software.
66|E-business: Introduction to Electronic Commerce|AFM 443||This course examines key topics in electronic commerce such as the structure of the Internet, basic e-commerce processes and technologies (website, catalogs, customer attraction, ordering processes, payment processes, and fulfilment processes), control issues (availability, security, integrity, and maintainability), business-to-consumer models, business-to-business models, business-to-employee models, e-business strategies, integration of e-commerce activities into other business operations, performance measurement, legal and regulatory issues, and assurance services.
67|Business Analytics Project Management|AFM 444||This course focuses on the development of project management and implementation capabilities required for the success of business analytics initiatives.
68|Information Technology Assurance and Audit Analytics|AFM 445||This course builds on the development of knowledge about, as well as skills in using, data analytics by allowing students, as users and interpreters of model output, to learn through a range of cases that focus on controls for information systems and audit applications.
69|Performance Management and Tax Analytics|AFM 446||This course builds on the development of knowledge about, as well as skills in using, data analytics by allowing students, as users and interpreters of model output, to learn through a range of data analytics cases that focus on performance management and tax applications.
70|Governance and Ethical Issues with Data and Emerging Technologies|AFM 447||This course examines a host of governance and ethical issues associated with the rapid growth of data analytics and emerging technologies and the related role of accounting and finance professionals.
71|Data Analytics and Emerging Technologies Consulting Group|AFM 448||This course provides students hands-on training in monitoring emerging technologies and in contributing through big data competitions. If selected, students monitor emerging technologies and generate reports regarding their state of adoption. Students also participate in business analytics competitions which contributes to student learning and knowledge creation.
72|Audit Strategy|AFM 451||An examination of elements of audit strategy and their interrelationships, including financial assertions, types and sources of audit assurance, and evidence-gathering procedures within a framework of professional judgment.
73|Internal Audit|AFM 452||This course will cover internal audit from a broad perspective across an organization's business, including governance, risk management, information technology, business processes, and related risks. The goal is to provide students with a fundamental knowledge and a sense of skills necessary to succeed in an entry-level internal audit position. The course is also geared to providing a foundation for students to prepare for taking the Certified Internal Auditor (CIA) exam.
74|Specialized Topics in Taxation|AFM 462||This course introduces specialized topics in taxation with emphasis on basic planning for private companies.
75|Introduction to U.S. Taxation|AFM 463||U.S. tax is an important topic for accounting and finance professionals since the U.S. is Canada's largest trading partner and many individuals move from one country to the other. This course covers the fundamentals of U.S. corporate and personal tax. U.S. tax issues relevant to both Canadian and American individuals and corporations will be emphasized. Important articles in the Canada/U.S. Tax Convention will also be covered in the course.
76|Financial Management of High Growth Companies|AFM 470||"Designed for students seeking careers within high growth companies or financing/advising them, this course develops the ability to relate to entrepreneurial ventures and provide ""value added"" financial management. This is an experiential based course focused on small group financial consulting projects with high growth companies in Kitchener-Waterloo or Greater Toronto Area. Classes may encompass lecture, case analysis, guest speakers, and discussion of groups' projects. The course includes a substantial class participation requirement leading to the in-depth financial consulting project."
77|Advanced Topics in Corporate Finance|AFM 473||Topics include items such as corporate governance, mergers and acquisitions, spin-offs and divestitures, security issuance, and capital budgeting.
78|Corporate Financial Decision Making|AFM 476||This is the second course of a two-course sequence that deals with corporate financial decision making. The course builds on the theory of financial management using cases to illustrate a variety of corporate financial decisions. Where suitable, topics are treated from a mathematical and quantitative perspective.
79|Mergers and Acquisitions|AFM 477||This course develops understanding of the strategic acquisition and divestiture process, particularly as it relates to corporations in Canada. The course focuses on integrating key analytical skills in the interpretation of financial statements and valuation methodologies in the context of mergers and acquisitions of existing firms, as well as spin-offs, restructurings, buyouts and divestitures of existing assets. The course concentrates on value creation and institutional, strategic, ethical, governance, and control issues.
80|International Financial Management|AFM 478||This course examines various aspects of corporate decision-making in a global firm, such as cross-border investments and financing, international risk management, multinational working capital management, and the impact of the international regulatory environment.
81|Cases and Applications in Finance 2|AFM 479||This course builds on the theory of finance and uses cases and applications to further address finance issues and competences, including risk management, equities, derivatives, and other investments.
82|Introduction to Organizational Behaviour|AFM 480||This course focuses on understanding and applying concepts concerning the behaviour of individuals and groups in organizations. Topics may include performance management, organizational commitment, collaboration, motivation, communication, decision making, culture, and ethical systems.
83|Performance Measurement and Organization Control|AFM 482||This course will trace the evolution of the role of performance measurement systems in supporting areas of organization control. Topics will include the role of both financial and non-financial performance measures in: the DuPont method of control, the Harvard model of control, internal control, contemporary approaches to governance, and strategic management systems. After completing this course students will be able to evaluate the nature and suitability of a proposed performance measurement system given its design and purpose.
84|Applications of Analytics to Business|AFM 483||This course explores the metrics, quantitative analyses, and technologies used across a range of applications where an investigation of past business performance provides insights that drive business decisions.
85|Advanced Management Control Systems|AFM 484||This course provides an in-depth examination of operations management and related issues in performance evaluation and control for various business sectors (e.g., manufacturing, service, and IT intensive).
86|Approaches to Measuring Value|AFM 485||This course addresses the significant shift in the composition of enterprise value from tangible assets tracked by traditional accounting practices to a range of intangible assets. The course provides a survey of approaches used to identify, measure, report, and create value that consider these intangibles.
87|Advanced Financial Accounting|AFM 491||An advanced accounting course considering specific problems of accounting for the corporate entity, such as business combinations, intercorporate investments, consolidated financial statements, accounting for foreign operations and foreign currency transactions, and segment reporting.
88|Introduction to Global Capital Markets and Financial Analytics|ACTSC 127||This course introduces financial markets and institutions, examining the role of finance in the global economy while introducing foundational principles of financial decision making. The course utilizes analytic and computational approaches to the topics, enabling students to develop data management and analysis competencies.
89|Introductory Financial Mathematics (Non-Specialist Level)|ACTSC 221||The theory of rates of interest and discount; annuities and sinking funds with practical applications to mortgage and bond questions. Yield rates. [Offered: F,W,S]
90|Introductory Financial Mathematics|ACTSC 231||The theory of rates of interest and discount including the theoretical continuous case of forces of interest and discount. Annuities and sinking funds, including the continuous case. Practical and theoretical applications primarily to mortgages and bonds. Yield rates. [Offered: F,W,S]
91|Life Contingencies 1|ACTSC 232||The future lifetime random variable: probability and survival functions; force of mortality; complete and curtate expectation of life; Makeham and Gompertz mortality laws. Life tables: characteristics of population and insurance life tables; selection; fractional age assumptions. Life insurance payments and annuity payments: present value random variables; expected present values; higher moments; actuarial notation. Annual, 1/mthly and continuous cases. Relationships between insurance and annuity functions. Premiums: expense loadings. Present value of future loss random variables and distribution, net and gross cases. Equivalence principle. Portfolio percentile principle. Extra risks.
92|Global Capital Markets and Financial Analytics|ACTSC 291||This course offers an overview of global capital markets and asset valuation. Topics may include an overview of financial markets and instruments, time value of money, valuation of financial assets, and financial risk and portfolio management. The course utilizes an analytic and computational approach to the topics, enabling students to develop data management and analysis competencies.
93|Life Contingencies 2|ACTSC 331||Policy Values: Annual, 1/mthly, and continuous cases. Thiele's equation. Modified premium policy values. Multiple state models: applications in life contingencies; assumptions; Kolmogorov equations; premiums, policy values, multiple decrement models. Joint life models: valuation of insurance benefits on joint lives, dependent and independent cases.
94|Introduction to Property and Casualty Practice|ACTSC 362||Introduction to property and casualty coverages. Claim payment process, development triangles, and diagnostic testing. Estimating ultimate claims using development, frequency-severity, expected and Bornhuetter Ferguson methods. Estimating unpaid claim and unallocated loss adjustment expense liabilities. Ratemaking process, including expense provisions, profit and contingencies, and adjustments for catastrophes and large losses. Pricing for deductibles and increased limits. Introduction to reinsurance pricing and reserving. Commercial lines pricing. [Offered: F,W]
95|Casualty and Health Insurance Mathematics 1|ACTSC 363||Introduction to the collective risk model; models for loss frequency: (a, b, 0) and (a, b, 1) classes of distributions, compound distributions and mixtures; models for loss severity: exponential, gamma, lognormal, Pareto, Weibull, and mixtures; measures of distribution tails; impact of policy adjustments on loss frequency and severity; estimation of frequency and severity models. [Offered: F,W]
96|Investment Science and Corporate Finance|ACTSC 372||Introduction to financial markets. Different return and risk measures. Investment rules and capital budgeting. Rigorous derivations of Markowitz portfolio optimization and its application in investment decisions. Capital Asset Pricing Model (CAPM) and Arbitrage Pricing Theory (APT). Weighted average cost of capital (WACC) and efficient market hypothesis (EMH). Long-term financing, capital structure (MM propositions), and dividend policies. Introduction to options, forwards, and swaps. [Offered: F,W,S]
97|Corporate Finance|ACTSC 391||This is the first in a two-course sequence that deals with corporate financial decision making. Topics may include capital budgeting, cost of capital, security issuance, capital structure, payout policy and dividends, and short-term finance. Where suitable, topics are treated from a mathematical and quantitative perspective.
98|Topics in Financial Econometrics|ACTSC 423||This course introduces the use of advanced econometric/statistical methods in studying financial market data, and in quantitatively assessing risks associated with financial investments. The methods presented in this course are tailored to address specific issues of interest in finance, such as the quantification of the risk-return tradeoff, the modelling of time-varying stock/bond market volatility and, possibly, also the statistical analysis of financial derivatives such as options.
99|Casualty and Health Insurance Mathematics 2|ACTSC 431||Aggregate loss and payment models: properties, analytic results, convolution-type methods, recursive methods, inversion-type methods, and simulation; advanced aggregate claims models; reinsurance; applications to insurance pricing; insurance pricing using generalized linear models. [Offered: F,S]
100|Credibility and Risk Theory|ACTSC 432||Credibility theory: American credibility, Bayesian, Bühlmann, Bühlmann-Straub, and empirical Bayes parameter estimation. Risk theory: claim arrival dynamics, surplus models, first-passage times, applications to solvency, and their analytical and numerical analyses. [Offered: F,S]
101|Quantitative Enterprise Risk Management|ACTSC 445||This course introduces enterprise risk management, with a focus on quantitative analysis and economic capital. Risk classification is first discussed with an emphasis on the types of risk most suited to quantitative methods. Risk measures, such as Value-at-Risk (VaR) and Conditional Tail Expectation (CTE or TVaR), are then introduced and their use by firms and regulators to determine risk capital requirements is further highlighted. Different approaches are considered for developing loss distributions, including frequency/severity analysis and extreme value theory. Copulas and economic scenario generators are used to aggregate dependent risks. Different strategies for mitigating or transferring risk are reviewed. Additional topics that may be covered include credit risk, capital allocation, and regulation of financial institutions. [Offered: F,S]
102|Mathematics of Financial Markets|ACTSC 446||This course covers mathematical techniques for no-arbitrage pricing and hedging financial derivatives. Topics to be covered can be classified into three broad areas: derivatives markets (options; forwards and futures; other derivatives; put-call parity), discrete-time financial models (binomial models; general multi-period models; Fundamental Theorems of Asset Pricing; risk-neutral probability), and continuous-time financial models (basic stochastic calculus and Itô's lemma; Black-Scholes model; interest rate models and bond pricing). [Offered: F,W]
103|Basic Pension Mathematics|ACTSC 453||Theory and practice of pension plan funding. Assumptions, basic actuarial functions, and population theory applied to private pensions. Concepts of normal costs, supplemental liability, unfunded liability arising from individual accrued benefit, and projected benefit cost methods.
104|Longevity and Mortality Using Predictive Analytics|ACTSC 454||Kaplan-Meier and Nelson-Aalen estimators for survival functions. Kernel density models. Validation of mortality tables. Estimators for Markov multiple state transition intensities. Longevity models, including deterministic and stochastic models such as Lee-Carter and Cairns-Blake-Dowd. [Offered: W]
105|Life Contingencies 3|ACTSC 455||Profit testing for traditional and non-traditional life insurance. Pricing and valuation of embedded options in life insurance products. Defined benefit and defined contribution pension plan design. Theory and practice of unit credit methods for pension plan funding and valuation for final average salary, career average earnings, and career average revalued earnings pension plans; post-retirement health benefits.
106|Readings in Actuarial Science 1|ACTSC 468||Reading course as announced by the department.
107|Readings in Actuarial Science 2|ACTSC 469||Reading course as announced by the department.
108|Corporate Financial Decision Making|ACTSC 471||This is the second course of a two-course sequence that deals with corporate financial decision making. The course builds on the theory of financial management using cases to illustrate a variety of corporate financial decisions. Where suitable, topics are treated from a mathematical and quantitative perspective.
109|Advanced Topics in Actuarial Science|ACTSC 489||Advanced topics course as announced by the department. Topics and term offerings will vary.
110|American Sign Language 1|ASL 101R||This introductory course in American Sign Language (ASL) teaches students to manage everyday communication in ASL and integrate deaf culture and deaf community content. Grammar is introduced in context with an emphasis on developing question and answer skills.
111|American Sign Language 2|ASL 102R||This course extends the introduction to sign language by refining the skills attained in ASL 101R to include personal conversations and storytelling. Cultural notes and videos add to information on deaf culture and deaf community. Grammar includes an emphasis on giving directions and adding description.
112|American Sign Language 3|ASL 201R||This course enables students to rehearse conversation and to correct information to minimize misunderstandings. Major topics will include family and occupations, attributing qualities to others, and discussing routines. Cultural notes and videotapes provide information on Deaf Culture and Community. Grammar is introduced in context.
113|American Sign Language 4|ASL 202R||This course refines the skills learned and retained from ASL 201R. Students learn to communicate the locations of items around the house, complain, and make suggestions and requests. Advanced exploration of Deaf Culture and Community is incorporated. Grammar is introduced in context with emphasis on question and answer skills.
114|Introduction to Anthropology|ANTH 100||Anthropology aims at understanding what it is to be human and to examine how humanity is manifested in the diversity of cultures and societies across time and space. This course gives the student an overview of the breadth of anthropology and orients them toward thinking anthropologically in our shared worlds.
115|Prehistoric Peoples and Places|ANTH 105||How did people live prior to the invention of writing and how do we know? This course will survey findings from several important archaeological sites from different parts of the world and different periods in time, in order to show how those questions can be answered.
116|Technologies of Being Human|ANTH 106||From walking on two feet to inventing tools, writing, machines, and medicines: who we are today is shaped by our technological past. In this course we discover this history and ask what it means for our present and future.
117|Introduction to Archaeology|ANTH 201||An introduction to the working assumptions, analytic approaches, and integrative and descriptive methods of archaeological anthropology.
118|Social and Cultural Anthropology|ANTH 202||This course introduces students to the history and key concepts of social and cultural anthropology through the examination of classic works as well as contemporary ethnographic texts and films. Topics include anthropological approaches to understanding cultural identity and difference, social structure, kinship, politics, and exchange.
119|Biological Anthropology|ANTH 204||This course surveys the lines of inquiry in biological anthropology including evolutionary theory, anthropological genetics, primatology, hominin fossil record, osteology and skeletal biology, and modern human biocultural adaptations. A laboratory component provides students an experiential approach to the material.
120|Language and Society|ANTH 221||This course introduces students to the study of language and culture. Topics covered include language socialization, narrative, the politics of multilingualism, and hate speech.
121|Anthropologies of the Body|ANTH 222||Drawing upon diverse anthropological perspectives, this course takes a holistic biocultural approach to exploring what human bodies are, what they are used for, by whom, for what purposes, and how we come to know such things.
122|Inuit Cultures|ANTH 233||An examination of Inuit and Eskimo cultures of Alaska, Canada, and Greenland from their prehistoric origins to the present. Administrative systems imposed upon the Inuit and Eskimo will be analyzed and compared, as will the contemporary problems these communities face.
123|Food as Culture|ANTH 241||The course addresses the topic of food from an anthropological perspective. It examines how the acquisition of food has shaped human biology and forms of social organization. Topics examined include the relationship of food to colonialism, political economy, ritual, and taboo.
124|Anthropology of Education|ANTH 245||This course examines anthropological approaches to the study of education. Topics include classroom discourse, social reproduction, development, citizenship, power, and governmentality.
125|Doing Ethnography|ANTH 251||This course will provide students with experiential learning in collaborative ethnography. Through participation in a group project, students will learn the practice and craft of ethnography, developing skills in interviewing, observation, collaboration, giving presentations, and writing reports. Readings address ethnographic methods, multidisciplinary collaboration, and applied ethnography in work settings.
126|Issues in Contemporary Indigenous Communities in Canada|ANTH 272||An examination of First Nations and Métis cultures and cultural development from the perspective of local Indigenous communities. The course will feature lectures, discussions, and occasional guest speakers representative of the wider Indigenous community.
127|Special Topics in Anthropology|ANTH 289||Analysis of a special topic in anthropology, as announced by the department.
128|Visual Anthropology|ANTH 290||This course examines relations between culture and vision, the history of photography in anthropological research, and ethnographic film and its ethical implications. Topics include the roles of museums and representation, indigenous media, advocacy, and activism.
129|Skeletons: Sex, Disease, and Death|ANTH 292||This course will provide a general introduction to how human remains have been used to reconstruct perspectives on life and death in ancient societies. Topics will include sex, gender and sexuality, cannibalism, human sacrifice, body modification, disease, and beliefs about the supernatural, among others.
