41|Middle East Technical University (METU)||English|Middle East Technical University (METU) Summer Program||Ankara, Turkey
42|Middle East Technical University (METU)|Competitive|English|Middle East Technical University Exchange Program|Winter 2024|Ankara, Turkey
43|Monash University|Competitive|English|Monash University - Malaysia Campus Exchange Program|Fall 2023, Winter 2024|Subang Jaya, Malaysia
44|Monash University|Competitive|English|Monash University Exchange Program|Winter 2024|Melbourne, Victoria, Australia
45|Murdoch University|Competitive|English|Murdoch University Exchange Program|Winter 2024|Perth, Western Australia, Australia
46|Nanyang Technological University (NTU)|Competitive||Nanyang Technological University Exchange Program|Fall 2023, Winter 2024|Jurong West district, Singapore
47|Nanyang Technological University (NTU)|||Nanyang Technological University Summer Program Track 1: Chinese Language & Cultural Studies||Jurong West District, Singapore
48|Nanyang Technological University (NTU)||English|Nanyang Technological University Summer Program Track 2: Entrepreneurship & Innovation Asia||Jurong West District, Singapore
49|Nanyang Technological University (NTU)||English|Nanyang Technological University Summer Program Track 3: Creative Design and Media||Jurong West District, Singapore
50|Nanyang Technological University (NTU)|||Nanyang Technological University Summer Program Track 4: Success in the Globalised Marketplace - Business and Management Courses||Jurong West District, Singapore
51|Nanyang Technological University (NTU)||English|Nanyang Technological University Summer Program Track 5: New Technologies, New World||Jurong West District, Singapore
52|National Taiwan University|Competitive|English|National Taiwan University Exchange Program|Fall 2023, Winter 2024|Taipei City, Taiwan
53|National Tsing Hua University|Competitive|English|National Tsing Hua University Exchange Program|Winter 2024|Hsinchu, Taiwan
54|National University of Singapore (NUS)|Ultra Competitive|English|National University of Singapore Exchange Program|Fall 2023, Winter 2024|Singapore, Singapore
55|Newcastle University|Competitive|English|Newcastle University Exchange Program|Fall 2023, Winter 2024|Newcastle and Wear, United Kingdom
56|Norwegian University of Science & Technology (NTNU)|Competitive|English|Norwegian University of Science & Technology Exchange Program|Winter 2024|Trondheim, Norway
57|Paris Dauphine University|Very Competitive|English|Paris Dauphine University Exchange Program|Fall 2023, Winter 2024|Paris, France
58|Pohang University of Science and Technology (POSTECH)|Competitive|English|Pohang University of Science & Technology Exchange Program|Fall 2023, Winter 2024|Pohang, South Korea
59|Polytechnic University of Milan (POLIMI)|Very Competitive|English|Polytechnic University of Milan Exchange Program|Winter 2024|Milan, Italy
60|Queensland University of Technology (QUT)|Competitive|English|Queensland University of Technology Exchange Program|Winter 2024|Brisbane, Queensland, Australia
61|Ritsumeikan Asia Pacific University (APU)|Competitive|English|Ritsumeikan Asia Pacific University Exchange Program|Spring 2024|Beppu, Oita, Japan
62|Royal Melbourne Institute of Technology (RMIT)|Competitive|English|Royal Melbourne Institute of Technology - Vietnam Campus Exchange Program|Winter 2024|Hoi Chi Min City, Vietnam
63|Royal Melbourne Institute of Technology (RMIT)|Very Competitive|English|Royal Melbourne Institute of Technology Exchange Program|Winter 2024|Melbourne, Victoria, Australia
64|RWTH Aachen University|Competitive|English|RWTH Aachen University Exchange Program|Fall 2023, Spring 2024|Aachen, Germany
65|RWTH Aachen University||English|RWTH Aachen University Internship||Aachen, Germany
66|University of Oulu|Competitive|English|Scandinavian Studies Programme - University of Oulu Exchange|Fall 2023|Oulu, Finland
67|Seoul National University (SNU)|Ultra Competitive|English|Seoul National University Exchange Program|Fall 2023, Winter 2024|Seoul, South Korea
68|Seoul National University (SNU)||English|Seoul National University Summer Program||Seoul, South Korea
69|Singapore University of Technology and Design (SUTD)|Ultra Competitive|English|Singapore University of Technology & Design Exchange Program|Spring 2024|Singapore, Singapore
70|Swansea University|Competitive|English|Swansea University Exchange Program|Fall 2023, Winter 2024|Swansea, Wales, United Kingdom
71|Swiss Federal Institute of Technology Lausanne (EPFL)|Competitive|English|Swiss Federal Institute of Technology Lausanne (EPFL) Exchange Program|Fall 2023, Winter 2024|Lausanne, Switzerland
72|Swiss Federal Institute of Technology Lausanne (EPFL)||English|Swiss Federal Institute of Technology Lausanne (EPFL) Internship Program||Lausanne, Switzerland
73|Tampere University|Competitive|English|Tampere University Exchange Program|Fall 2023, Winter 2024|Tampere, Finland
74|Technical University of Braunschweig (TUB)|Competitive|English, German|Technical University of Braunschweig Exchange Program|Fall 2023, Spring 2024|Braunschweig, Germany
75|Technical University of Denmark (DTU)|Very Competitive|English|Technical University of Denmark Exchange Program|Fall 2023, Winter 2024|Lyngby, Denmark
76|Technical University of Munich (TUM)|Competitive|English, German|Technical University of Munich Exchange Program|Fall 2023, Spring 2024|Munich, Germany
77|Technion - Israel Institute of Technology|Competitive|English|Technion - Israel Institute of Technology Exchange Program|Fall 2023, Spring 2024|Haifa, Israel
78|Chinese University of Hong Kong (CUHK)|Competitive|English|The Chinese University of Hong Kong Exchange Program|Winter 2024|Hong Kong, Hong Kong SAR China
79|Hong Kong Polytechnic University (Poly U)|Very Competitive|English|The Hong Kong Polytechnic University Exchange Program|Winter 2024|Hong Kong, Hong Kong SAR China
80|Hong Kong University of Science and Technology (HKUST)|Competitive|English|The Hong Kong University of Science & Technology - School of Engineering Exchange Program|Winter 2024|Hong Kong, Hong Kong SAR China
81|Hong Kong University of Science and Technology (HKUST)|Competitive|English|The Hong Kong University of Science & Technology - School of Science Exchange Program|Winter 2024|Hong Kong, Hong Kong SAR China
82|University of Hong Kong (HKU)|Very Competitive||The University of Hong Kong Exchange Program|Fall 2023, Winter 2024|Hong Kong, Hong Kong SAR China
83|University of Queensland (UQ)|Very Competitive|English|The University of Queensland Exchange Program|Fall 2023, Winter 2024|Brisbane, Queensland, Australia
84|The University of the West Indies|Competitive|English|The University of the West Indies - Cave Hill Campus Exchange Program|Winter 2024|Bridgetown, Barbados
85|The University of the West Indies|Competitive|English|The University of the West Indies - Mona Campus Exchange Program|Winter 2024|Kingston, Jamaica
86|The University of the West Indies|Competitive|English|The University of the West Indies - St. Augustine Campus Exchange Program|Winter 2024|St. Augustine, Trinidad and Tobago
87|University of Warwick|Competitive|English|The University of Warwick Exchange Program|Winter 2024|Warwick, England, United Kingdom
88|University of Western Australia (UWA)|Competitive|English|The University of Western Australia Exchange Program|Winter 2024|Crawley, Perth, Western Australia, Australia
89|Tilburg University|Very Competitive|English|Tilburg University Exchange Program|Fall 2023, Winter 2024|Tilburg, Netherlands
90|Tohoku University|Very Competitive|English|Tohoku University Exchange Program|Fall 2023, Spring 2024|Sendai, Japan
91|Tohoku University||English|Tohoku University Japanese Program (Summer Language and Culture Program)||Sendai, Japan
92|Tohoku University||English|Tohoku University Science Summer Program||Sendai, Japan
93|Tokyo Institute of Technology (Tokyo Tech)|Very Competitive|English|Tokyo Institute of Technology Exchange Program|Fall 2023, Spring 2024|Tokyo, Japan
94|Trinity College Dublin|Very Competitive|English|Trinity College Dublin Exchange Program|Fall 2023, Winter 2024|Dublin, Ireland
95|Tsinghua University|Ultra Competitive|English, Mandarin|Tsinghua University Exchange Program|Fall 2023, Winter 2024|Beijing, China
96|Delft University of Technology|Competitive|English|TU Delft Exchange Program|Fall 2023, Winter 2024|Delft, Netherlands
97|University of Ulster|Competitive|English|Ulster University Exchange Program|Fall 2023, Winter 2024|Ulster, Northern Ireland, United Kingdom
98|University College London (UCL)|Ultra Competitive|English|University College London Exchange Program|Fall 2023, Winter 2024|London, United Kingdom
99|University College London (UCL)||English|University College London International Summer School||London, United Kingdom
100|University of Bamberg|Competitive||University of Bamberg Exchange Program|Fall 2023, Spring 2024|Bamberg, Germany
101|University of Bergen|Competitive|English|University of Bergen Exchange Program|Fall 2023, Winter 2024|Bergen, Norway
102|University of Birmingham|Competitive|English|University of Birmingham Exchange Program|Fall 2023, Winter 2024|Birmingham, England, United Kingdom
103|University of Bristol|Competitive|English|University of Bristol Exchange Program|Fall 2023, Winter 2024|Bristol, England, United Kingdom
104|University of Dundee|Competitive|English|University of Dundee Exchange Program|Fall 2023, Winter 2024|Dundee, United Kingdom
105|University of Exeter|Competitive|English|University of Exeter Exchange Program|Fall 2023, Winter 2024|Exeter, England, United Kingdom
106|University of Graz|Competitive|English, German|University of Graz Exchange Program|Fall 2023, Winter 2024|Graz, Austria
107|University of Helsinki|Competitive|English|University of Helsinki Exchange Program|Fall 2023, Winter 2024|Helsinki, Finland
108|University of Jena|Competitive|English, German|University of Jena Erasmus+ Exchange Program|Fall 2023, Spring 2024|Jena, Germany
109|University of Konstanz|Competitive||University of Konstanz Exchange Program|Fall 2023, Winter 2024|Konstanz, Germany
110|University of Lausanne (UNIL)|Competitive||University of Lausanne Exchange Program|Fall 2023, Winter 2024|Lausanne, Switzerland
111|University of Lausanne (UNIL)|||University of Lausanne Summer Program||Lausanne, Switzerland
112|University of Leeds|Competitive||University of Leeds Exchange Program|Fall 2023, Winter 2024|Leeds, England, United Kingdom
113|University of Liverpool|Competitive||University of Liverpool Exchange Program|Fall 2023, Winter 2024|Liverpool, United Kingdom
114|University of Mannheim|Competitive|English|University of Mannheim Exchange Program|Fall 2023, Winter 2024|Mannheim, Germany
115|University of Nantes|Competitive|English, French|University of Nantes Exchange Program|Fall 2023, Winter 2024|Nantes, France
116|University of Navarra|Competitive|English|University of Navarra Exchange Program|Fall 2023, Winter 2024|Navarra, Spain
117|University of New South Wales (UNSW)||English|University of New South Wales Exchange Program|Winter 2024|Sydney, Australia
118|University of Oulu|Competitive|English|University of Oulu Exchange Program|Fall 2023, Winter 2024|Oulu, Finland
119|University of Sheffield|Competitive|English|University of Sheffield Exchange Program|Fall 2023, Winter 2024|Sheffield, England, United Kingdom
120|University of Southern Denmark (SDU)|Competitive|English|University of Southern Denmark Exchange Program|Fall 2023, Winter 2024|Sonderborg, Odense, Slagelse, Esbjerg, Kolding, Denmark
121|University of Strathclyde|Competitive|English|University of Strathclyde Exchange Program|Fall 2023, Winter 2024|Glasgow, United Kingdom
122|University of Sussex|Competitive|English|University of Sussex Exchange Program|Fall 2023, Winter 2024|Sussex, England, United Kingdom
123|University of Technology of Compiègne (UTC)|Competitive|English, French|University of Technology of Compiègne Exchange Program|Fall 2023, Winter 2024|Compiègne , France
124|University of Technology Sydney (UTS)|Competitive|English|University of Technology Sydney Exchange Program|Fall 2023, Winter 2024|Sydney, New South Wales, Australia
125|University of Turin|Competitive|English, Italian|University of Turin Exchange Program|Fall 2023, Winter 2024|Turin, Italy
126|University of Wollongong|Competitive|English|University of Wollongong Exchange Program|Fall 2023, Winter 2023 and Fall 2023, Winter 2024|Wollongong, New South Wales, Australia
127|Xi’an Jiaotong- Liverpool University|Competitive|English|Xi’an Jiaotong- Liverpool University Exchange Program|Fall 2023, Winter 2024|Suzhou, China
128|Yeditepe University|Competitive|English|Yeditepe University Exchange Program|Fall 2023, Winter 2024|Istanbul, Turkey
129|Yonsei University|Ultra Competitive|English|Yonsei University Exchange Program|Fall 2023, Winter 2024|Seoul, South Korea
